Name,Place,Date,Maindeck_Total,Sideboard_Total,Abundant Harvest,Academy Ruins,Adventurous Impulse,Aftermath Analyst,Amulet of Vigor,Ancient Stirrings,Arboreal Grazer,"Azusa, Lost but Seeking",Badgermole Cub,Beanstalk Giant,Blast Zone,Bojuka Bog,"Bonny Pall, Clearcutter",Boros Garrison,"Boseiju, Who Endures",Breeding Pool,Bridgeworks Battle,Cartographer's Survey,Castle Garenbrig,Cavern of Souls,Cephalid Coliseum,Commercial District,Courser of Kruphix,Crumbling Vestige,Cultivator Colossus,Dimir Aqueduct,Dismember,Dryad Arbor,Dryad of the Ilysian Grove,Echoing Deeps,Eladamri's Call,"Elesh Norn, Mother of Machines",Elvish Reclaimer,Elvish Rejuvenator,"Emrakul, the Aeons Torn",Engineered Explosives,Expedition Map,Explore,Famished Worldsire,Fecund Greenshell,Fetchland,Field Trip,Field of the Dead,Fierce Empath,Flagstones of Trokair,Forest,Formidable Speaker,Gemstone Caverns,Gemstone Mine,Generous Ent,Ghost Quarter,Golgari Rot Farm,Green Sun's Twilight,Green Sun's Zenith,Gretchen Titchwillow,Gruul Turf,Halimar Depths,Hanweir Battlements,Hedge Maze,Hydroid Krasis,Icetill Explorer,Insidious Fungus,Island,Kabira Crossroads,"Karn, the Great Creator",Kessig Wolf Run,Ketria Triome,Khalni Garden,"Klothys, God of Destiny",Lair of the Hydra,Littjara Mirrorlake,Lotus Field,"Lumra, Bellow of the Woods",Lush Portico,Malevolent Rumble,Mirrorpool,Misty Rainforest,Northampton Farm,Oran-Rief Hydra,"Oran-Rief, the Vastwood","Otawara, Soaring City",Pact of Negation,Phyrexian Metamorph,Pit of Offerings,Preordain,Primal Command,Primeval Titan,Radiant Fountain,Relic of Progenitus,Sakura-Tribe Elder,Sakura-Tribe Scout,Scapeshift,Selesnya Sanctuary,Shadowspear,Shifting Woodland,Simian Spirit Guide,Simic Growth Chamber,Six,Slayers' Stronghold,Smugglers Surprise,Snow-Covered Forest,Spelunking,Springheart Nantuko,Stock Up,Stomping Ground,Street Wraith,Summoner's Pact,"Sunhome, Fortress of the Legion",Sunken Citadel,"Takenuma, Abandoned Mire",Temple Garden,The Mycosynth Gardens,The One Ring,The Wandering Minstrel,Thragtusk,Through the Breach,Tireless Tracker,Tolaria West,Turntimber Symbiosis,"Uro, Titan of Nature's Wrath",Urza's Cave,Urza's Saga,"Valakut, the Molten Pinnacle",Verdant Catacombs,Vesuva,Vexing Bauble,Waterlogged Grove,Windswept Heath,Wooded Foothills,"Yavimaya, Cradle of Growth",sb_Abrade,sb_Aether Gust,sb_Aether Spellbomb,sb_Aftermath Analyst,sb_Altered Ego,sb_Arasta of the Endless Web,sb_Arboreal Grazer,"sb_Ashiok, Dream Render",sb_Avabruck Caretaker,sb_Aven Mindcensor,"sb_Azusa, Lost but Seeking",sb_Back to Nature,sb_Basic Conjuration,sb_Batterskull,sb_Beast Within,sb_Blast Zone,sb_Blossoming Tortoise,sb_Boil,sb_Bojuka Bog,sb_Bonecrusher Giant,"sb_Boseiju, Who Endures",sb_Brazen Borrower,sb_Breeding Pool,sb_Castle Garenbrig,sb_Cavern of Souls,sb_Chalice of the Void,sb_Chameleon Colossus,sb_Choke,sb_Cityscape Leveler,sb_Collector Ouphe,sb_Colossal Skyturtle,sb_Commercial District,sb_Consign to Memory,sb_Containment Breach,sb_Creeping Corrosion,sb_Crush the Weak,sb_Culling Ritual,sb_Cultivator Colossus,sb_Cursed Totem,sb_Damping Matrix,sb_Damping Sphere,sb_Deafening Silence,sb_Defense Grid,sb_Dismember,sb_Disruptor Flute,sb_Dosan the Falling Leaf,sb_Dragonlord Dromoka,sb_Drannith Magistrate,sb_Dryad Arbor,sb_Dryad of the Ilysian Grove,sb_Earthquake,sb_Echoing Truth,sb_Elder Gargaroth,"sb_Elesh Norn, Mother of Machines",sb_Elvish Reclaimer,"sb_Emrakul, the Aeons Torn","sb_Emrakul, the Promised End",sb_Endurance,sb_Engineered Explosives,sb_Ensnaring Bridge,sb_Environmental Sciences,sb_Esika's Chariot,sb_Eumidian Terrabotanist,sb_Explore,sb_Fecund Greenshell,sb_Feldon's Cane,sb_Field of the Dead,sb_Fire Magic,sb_Firespout,sb_Force of Vigor,sb_Forest,sb_Foundation Breaker,sb_Gaddock Teeg,sb_Gaea's Blessing,sb_Gemstone Caverns,sb_Generous Ent,sb_Ghost Quarter,sb_Ghost Vacuum,"sb_Golos, Tireless Pilgrim",sb_Grafdigger's Cage,sb_Green Sun's Zenith,"sb_Grist, the Hunger Tide",sb_Guttural Response,sb_Hall of Storm Giants,sb_Hanweir Garrison,sb_Haywire Mite,sb_Hexdrinker,sb_Hurkyls Recall,sb_Hydroid Krasis,sb_Icetill Explorer,sb_Inferno Titan,sb_Insidious Fungus,sb_Into the Flood Maw,sb_Island,"sb_Itzquinth, Firstborn of Gishath","sb_Jace, the Mind Sculptor",sb_Kabira Crossroads,"sb_Karn, the Great Creator",sb_Keen-Eyed Curator,sb_Ketria Triome,sb_Khalni Garden,sb_Kher Keep,sb_Kogla and Yidaro,"sb_Kozilek, Butcher of Truth","sb_Kura, the Boundless Sky","sb_Kutzil, Malamet Exemplar",sb_Lightning Bolt,sb_Liquimetal Coating,sb_Lithomantic Barrage,sb_Magus of the Moon,sb_Mana Leak,sb_Mascot Exhibition,sb_Misty Rainforest,sb_Mystic Repeal,sb_Mystical Dispute,sb_Nature's Claim,sb_Negate,sb_Null Elemental Blast,sb_Oblivion Stone,sb_Obstinate Baloth,sb_Orims Chant,"sb_Orvar, the All-Form","sb_Otawara, Soaring City",sb_Outland Liberator,sb_Overgrown Arch,sb_Pact of Negation,sb_Path to Exile,sb_Pest Summoning,sb_Phyrexian Metamorph,sb_Pick Your Poison,sb_Pit of Offerings,sb_Pithing Needle,sb_Plains,sb_Pongify,sb_Port of Karfell,sb_Primal Command,sb_Primeval Titan,sb_Prismatic Ending,sb_Propaganda,sb_Pyroclasm,sb_Questing Beast,sb_Radiant Fountain,sb_Ramunap Excavator,sb_Reclamation Sage,sb_Relic of Progenitus,sb_Rest in Peace,"sb_Roxanne, Starfall Savant",sb_Run Afoul,sb_Sakura-Tribe Elder,sb_Sakura-Tribe Scout,sb_Scapeshift,sb_Seal of Primordium,sb_Seal of Removal,sb_Shifting Woodland,sb_Silence,sb_Six,sb_Skylasher,sb_Skyline Cascade,"sb_Skysovereign, Consul Flagship",sb_Soul-Guide Lantern,sb_Soulless Jailer,sb_Spell Pierce,sb_Spelunking,sb_Springheart Nantuko,sb_Stock Up,sb_Stomping Ground,sb_Stone of Erech,sb_Storms Wrath,sb_Strix Serenade,sb_Summoners Pact,sb_Surgical Extraction,sb_Swan Song,sb_Sylvan Safekeeper,sb_Tear Asunder,sb_Temple Garden,sb_Terastodon,sb_Test of Talents,sb_The One Ring,sb_The Stone Brain,sb_The Tarrasque,sb_The Wandering Minstrel,sb_Thief of Existence,sb_Thornscape Battlemage,sb_Thragtusk,sb_Tireless Tracker,sb_Tolaria West,sb_Tormod's Crypt,sb_Torpor Orb,sb_Treasure Vault,sb_Trinisphere,sb_Trumpeting Carnosaur,sb_Turn the Earth,sb_Tyrranax Rex,"sb_Ugin, the Spirit Dragon",sb_Unidentified Hovership,sb_Unlicensed Hearse,"sb_Uro, Titan of Nature's Wrath",sb_Urzas Cave,"sb_Valakut, the Molten Pinnacle",sb_Vampires' Vengeance,sb_Veil of Summer,sb_Vexing Bauble,sb_Void Mirror,sb_Volatile Stormdrake,sb_Walking Ballista,sb_Woodland Bellower,sb_World Breaker,sb_Worldsouls Rage,sb_Wrenn and Six,sb_Wurmcoil Engine,"sb_Yasharn, Implacable Earth","sb_Yggdrasil, Rebirth Engine"
Mistakenn,2,10/6/2023,60,13,0,0,0,0,4,0,4,1,0,0,0,1,0,1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,4,1,0,0,0,3,4,0,0,0,0,2,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HouseOfManaMTG,3,10/13/2023,61,15,0,0,0,0,4,0,4,2,0,0,0,0,0,1,3,0,0,0,1,1,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,4,0,1,0,0,0,0,0,0,0,4,1,0,0,0,3,4,0,0,0,0,2,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mistakenn,2,10/13/2023,60,14,0,0,0,0,4,0,4,1,0,0,0,1,0,1,2,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,4,1,0,0,0,3,4,0,0,0,0,2,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ajani89,5,10/14/2023,60,15,0,0,0,0,4,0,4,1,0,0,0,1,0,1,1,0,0,0,0,2,0,0,0,1,1,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,1,0,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,4,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,2,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deftjad,4,10/14/2023,61,15,0,0,0,0,4,0,4,2,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,4,0,1,0,0,0,0,0,0,0,4,1,0,0,0,3,4,0,0,0,0,2,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CrisMTG77,3,10/14/2023,61,15,0,0,0,0,4,0,4,2,0,0,0,0,0,1,3,0,0,0,1,1,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,4,0,1,0,0,0,0,0,0,0,4,1,0,0,0,3,4,0,0,0,0,2,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
deftjad,2,10/14/2023,61,15,0,0,0,0,4,0,4,2,0,0,0,0,0,1,3,0,0,0,0,1,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,2,0,0,0,4,0,1,0,0,0,0,0,0,0,4,1,0,0,0,3,4,0,0,0,0,2,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CrisMTG77,1,10/14/2023,61,15,0,0,0,0,4,0,4,2,0,0,0,1,0,1,3,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,4,1,0,0,0,2,4,0,0,0,0,2,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HouseOfManaMTG,3,10/20/2023,64,15,0,0,0,0,4,0,4,2,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,1,0,0,0,0,0,0,0,4,1,0,0,0,3,4,0,0,0,0,2,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CrisMTG77,2,10/20/2023,61,15,0,0,0,0,4,0,4,2,0,0,0,1,0,1,3,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,4,1,0,0,0,2,4,0,0,0,0,2,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dafne17,7,10/21/2023,64,15,0,0,0,0,4,0,4,2,0,0,0,0,0,1,3,1,0,0,0,1,0,0,0,1,1,0,0,0,4,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,4,0,1,0,0,0,0,0,0,0,4,1,0,0,0,3,4,0,0,0,0,2,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dafne17,5,10/21/2023,61,15,0,0,0,0,4,0,4,2,0,0,0,1,0,1,3,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,4,1,0,0,0,2,4,0,0,0,0,2,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CrisMTG77,3,10/21/2023,61,15,0,0,0,0,4,0,4,2,0,0,0,1,0,1,3,0,0,0,0,2,0,0,0,0,1,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,1,0,0,0,4,0,1,0,0,0,0,0,0,0,4,1,0,0,0,2,4,0,0,0,0,2,0,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gurig,6,10/22/2023,60,15,0,0,0,0,4,0,4,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,4,0,0,0,4,0,1,0,0,0,0,0,0,0,4,1,0,0,0,4,0,0,0,0,0,1,0,0,0,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
